customer_id,signup_date,region,currency_preference,segment,acquisition_channel,age_band,country,country_latitude,country_longitude
CUST0000019,2/22/2024 7:56,,USD,Consumer,Organic,25-34,United States,39.8283,-98.5795
CUST0000020,4/3/2025 0:51,,USD,SOHO,Organic,25-34,United States,39.8283,-98.5795
CUST0000021,2/8/2024 17:06,,USD,Consumer,Organic,45-54,United States,39.8283,-98.5795
CUST0000022,5/9/2025 14:46,,USD,Consumer,Organic,45-54,United States,39.8283,-98.5795
CUST0000023,1/24/2025 13:23,EU,GBP,Consumer,Paid Search,35-44,United Kingdom,55.3781,-3.436
CUST0000024,7/27/2025 3:14,EU,EUR,Consumer,Organic,25-34,Spain,40.4637,-3.7492
CUST0000025,2/6/2025 23:26,EU,GBP,Enterprise,Organic,25-34,United Kingdom,55.3781,-3.436
CUST0000026,1/1/2025 5:27,,USD,SMB,Organic,25-34,United States,39.8283,-98.5795
CUST0000027,4/23/2024 5:57,,USD,Consumer,Email,25-34,United States,39.8283,-98.5795
CUST0000028,3/29/2025 22:13,,USD,Consumer,Social,25-34,United States,39.8283,-98.5795
CUST0000029,12/17/2024 6:26,EU,EUR,SMB,Organic,25-34,France,46.2276,2.2137
CUST0000030,5/15/2025 14:00,,USD,Consumer,Paid Search,25-34,Canada,56.1304,-106.3468
CUST0000031,1/4/2025 17:11,,USD,SOHO,Organic,25-34,United States,39.8283,-98.5795
CUST0000032,5/11/2025 1:34,,USD,SMB,Social,18-24,Canada,56.1304,-106.3468
CUST0000033,3/30/2025 19:58,EU,EUR,SMB,Paid Search,35-44,Netherlands,52.1326,5.2913
CUST0000034,5/3/2024 4:14,EU,GBP,Consumer,Email,55+,United Kingdom,55.3781,-3.436
CUST0000035,4/4/2025 2:57,EU,EUR,Consumer,Organic,45-54,Spain,40.4637,-3.7492
CUST0000036,6/25/2025 13:49,EU,GBP,Consumer,Paid Search,18-24,United Kingdom,55.3781,-3.436
CUST0000037,9/5/2024 19:49,APAC,AUD,SOHO,Organic,25-34,Australia,-25.2744,133.7751
CUST0000038,12/13/2024 7:37,EU,GBP,Consumer,Organic,45-54,United Kingdom,55.3781,-3.436
CUST0000039,5/26/2024 9:30,EU,GBP,Consumer,Social,25-34,United Kingdom,55.3781,-3.436
CUST0000040,7/14/2024 3:51,,USD,Consumer,Organic,45-54,United States,39.8283,-98.5795
CUST0000041,3/23/2025 22:33,EU,EUR,Consumer,Affiliate,35-44,Germany,51.1657,10.4515
CUST0000042,8/28/2025 3:53,,USD,SOHO,Affiliate,55+,United States,39.8283,-98.5795
CUST0000043,1/5/2025 22:30,EU,GBP,Consumer,Email,45-54,United Kingdom,55.3781,-3.436
CUST0000044,1/29/2024 2:33,,USD,Consumer,Organic,35-44,United States,39.8283,-98.5795
CUST0000045,2/23/2025 4:24,APAC,USD,Consumer,Paid Search,35-44,Philippines,12.8797,121.774
CUST0000046,5/6/2024 20:10,,USD,SMB,Organic,25-34,Canada,56.1304,-106.3468
CUST0000047,7/19/2025 23:28,EU,EUR,Consumer,Paid Search,18-24,France,46.2276,2.2137
CUST0000048,8/21/2024 17:24,,USD,SOHO,Email,25-34,United States,39.8283,-98.5795
CUST0000049,2/9/2024 4:22,EU,EUR,SMB,Paid Search,25-34,Netherlands,52.1326,5.2913
CUST0000050,7/26/2025 18:41,EU,EUR,Consumer,Affiliate,18-24,Spain,40.4637,-3.7492
CUST0000051,6/1/2025 19:22,,USD,Consumer,Paid Search,25-34,Canada,56.1304,-106.3468
CUST0000052,1/19/2025 16:42,,USD,SMB,Social,45-54,United States,39.8283,-98.5795
CUST0000053,1/17/2024 23:08,EU,EUR,Consumer,Organic,18-24,France,46.2276,2.2137
CUST0000054,7/13/2024 23:16,,USD,Consumer,Organic,25-34,United States,39.8283,-98.5795
CUST0000055,8/26/2025 16:08,,USD,Consumer,Social,25-34,United States,39.8283,-98.5795
CUST0000056,11/26/2024 14:19,,USD,Consumer,Organic,35-44,Canada,56.1304,-106.3468
CUST0000057,5/11/2024 20:32,,USD,SOHO,Retail Media,25-34,Canada,56.1304,-106.3468
CUST0000058,7/20/2025 3:02,EU,GBP,SMB,Paid Search,55+,United Kingdom,55.3781,-3.436
CUST0000059,1/31/2024 21:39,EU,EUR,SOHO,Organic,35-44,Netherlands,52.1326,5.2913
CUST0000060,6/20/2025 23:10,EU,GBP,Consumer,Email,35-44,United Kingdom,55.3781,-3.436
CUST0000061,9/9/2024 0:38,EU,GBP,Consumer,Social,18-24,United Kingdom,55.3781,-3.436
CUST0000062,6/5/2024 0:24,EU,EUR,Consumer,Organic,35-44,Germany,51.1657,10.4515
CUST0000063,3/15/2024 1:13,APAC,USD,Consumer,Social,45-54,Philippines,12.8797,121.774
CUST0000064,6/1/2024 15:07,,USD,SOHO,Affiliate,25-34,United States,39.8283,-98.5795
CUST0000065,1/22/2024 15:42,APAC,USD,Consumer,Social,25-34,Philippines,12.8797,121.774
CUST0000066,3/12/2025 10:55,EU,EUR,SOHO,Organic,18-24,Spain,40.4637,-3.7492
CUST0000067,5/30/2025 1:15,,USD,Consumer,Paid Search,55+,United States,39.8283,-98.5795
CUST0000068,11/7/2024 19:07,EU,GBP,Consumer,Social,18-24,United Kingdom,55.3781,-3.436
CUST0000069,9/23/2024 12:24,EU,EUR,Consumer,Social,45-54,Netherlands,52.1326,5.2913
CUST0000070,6/12/2024 2:14,EU,GBP,Consumer,Organic,25-34,United Kingdom,55.3781,-3.436
CUST0000071,8/8/2024 20:43,APAC,USD,Consumer,Paid Search,35-44,Philippines,12.8797,121.774
CUST0000072,8/27/2024 10:30,APAC,USD,SOHO,Paid Search,35-44,Philippines,12.8797,121.774
CUST0000073,9/15/2024 12:13,EU,EUR,SOHO,Affiliate,25-34,France,46.2276,2.2137
CUST0000074,1/4/2024 3:30,EU,EUR,SOHO,Paid Search,25-34,Germany,51.1657,10.4515
CUST0000075,2/11/2024 11:45,APAC,USD,Enterprise,Organic,25-34,Philippines,12.8797,121.774
CUST0000076,4/17/2025 15:16,APAC,AUD,Consumer,Organic,18-24,Australia,-25.2744,133.7751
CUST0000077,4/9/2024 8:49,,USD,Consumer,Email,45-54,United States,39.8283,-98.5795
CUST0000078,8/12/2024 22:48,,USD,Consumer,Paid Search,18-24,United States,39.8283,-98.5795
CUST0000079,7/27/2024 21:35,EU,GBP,SOHO,Organic,35-44,United Kingdom,55.3781,-3.436
CUST0000080,8/25/2024 19:22,APAC,USD,Consumer,Affiliate,25-34,Philippines,12.8797,121.774
CUST0000081,7/25/2024 7:06,EU,EUR,SOHO,Email,25-34,Spain,40.4637,-3.7492
CUST0000082,2/27/2025 15:08,APAC,AUD,Consumer,Organic,35-44,Australia,-25.2744,133.7751
CUST0000083,5/30/2025 8:54,,USD,SMB,Organic,35-44,United States,39.8283,-98.5795
CUST0000084,1/29/2025 21:31,,USD,SMB,Email,25-34,United States,39.8283,-98.5795
CUST0000085,2/25/2025 16:27,EU,EUR,Consumer,Social,35-44,Netherlands,52.1326,5.2913
CUST0000086,9/15/2024 22:53,,USD,Consumer,Email,25-34,United States,39.8283,-98.5795
CUST0000087,2/4/2025 0:28,,USD,Consumer,Social,45-54,United States,39.8283,-98.5795
CUST0000088,2/8/2024 23:10,,USD,Consumer,Email,25-34,United States,39.8283,-98.5795
CUST0000089,10/11/2024 13:02,APAC,AUD,Consumer,Email,25-34,Australia,-25.2744,133.7751
CUST0000090,2/23/2025 15:51,APAC,USD,SOHO,Paid Search,45-54,Philippines,12.8797,121.774
CUST0000091,1/31/2024 10:45,,USD,Consumer,Organic,18-24,United States,39.8283,-98.5795
CUST0000092,3/4/2025 19:25,EU,GBP,Consumer,Organic,25-34,United Kingdom,55.3781,-3.436
CUST0000093,8/26/2025 0:01,APAC,AUD,SOHO,Organic,25-34,Australia,-25.2744,133.7751
CUST0000094,7/22/2025 23:42,LATAM,USD,Consumer,Affiliate,45-54,Brazil,-14.235,-51.9253
CUST0000095,5/30/2025 16:53,,USD,Consumer,Organic,55+,United States,39.8283,-98.5795
CUST0000096,1/15/2024 20:59,EU,GBP,Consumer,Email,35-44,United Kingdom,55.3781,-3.436
CUST0000097,9/21/2024 13:22,EU,EUR,SOHO,Organic,35-44,France,46.2276,2.2137
CUST0000098,3/24/2025 5:37,EU,EUR,Consumer,Organic,35-44,Netherlands,52.1326,5.2913
CUST0000099,8/22/2025 0:58,EU,GBP,SMB,Retail Media,25-34,United Kingdom,55.3781,-3.436
CUST0000100,1/1/2024 13:36,,USD,Consumer,Organic,25-34,United States,39.8283,-98.5795
CUST0000101,5/4/2024 20:51,APAC,AUD,Consumer,Organic,55+,Australia,-25.2744,133.7751
CUST0000102,3/16/2024 21:09,,USD,Consumer,Organic,18-24,Canada,56.1304,-106.3468
CUST0000103,11/25/2024 1:41,,USD,Consumer,Social,25-34,United States,39.8283,-98.5795
CUST0000104,7/30/2024 14:13,EU,EUR,Consumer,Organic,45-54,Netherlands,52.1326,5.2913
CUST0000105,7/11/2025 12:49,,USD,Consumer,Affiliate,35-44,United States,39.8283,-98.5795
CUST0000106,10/1/2024 12:08,EU,GBP,Consumer,Paid Search,18-24,United Kingdom,55.3781,-3.436
CUST0000107,5/27/2024 5:07,EU,EUR,Consumer,Affiliate,18-24,France,46.2276,2.2137
CUST0000108,7/17/2025 20:00,,USD,Consumer,Organic,35-44,Canada,56.1304,-106.3468
CUST0000109,7/4/2024 12:51,EU,EUR,SOHO,Email,35-44,Germany,51.1657,10.4515
CUST0000110,2/12/2025 11:12,EU,EUR,Consumer,Social,25-34,Netherlands,52.1326,5.2913
CUST0000111,5/24/2025 21:16,,USD,Consumer,Email,25-34,Canada,56.1304,-106.3468
CUST0000112,3/19/2025 16:34,APAC,AUD,SOHO,Email,55+,Australia,-25.2744,133.7751
CUST0000113,10/7/2024 15:09,,USD,Consumer,Affiliate,25-34,Canada,56.1304,-106.3468
CUST0000114,8/29/2025 23:04,,USD,SOHO,Email,35-44,Canada,56.1304,-106.3468
CUST0000115,7/27/2025 21:17,,USD,Consumer,Organic,25-34,United States,39.8283,-98.5795
CUST0000116,8/8/2024 0:16,EU,EUR,Consumer,Email,25-34,France,46.2276,2.2137
CUST0000117,6/3/2025 13:45,APAC,USD,SMB,Organic,25-34,Philippines,12.8797,121.774
CUST0000118,11/18/2024 19:42,,USD,Consumer,Paid Search,55+,United States,39.8283,-98.5795
CUST0000119,3/8/2025 23:02,,USD,SOHO,Organic,45-54,Canada,56.1304,-106.3468
CUST0000120,7/4/2024 8:10,LATAM,USD,Consumer,Organic,25-34,Brazil,-14.235,-51.9253
CUST0000121,11/8/2024 14:33,,USD,SOHO,Organic,45-54,United States,39.8283,-98.5795
CUST0000122,8/17/2025 1:42,APAC,AUD,SMB,Email,25-34,Australia,-25.2744,133.7751
CUST0000123,5/17/2024 20:20,EU,GBP,Consumer,Paid Search,35-44,United Kingdom,55.3781,-3.436
CUST0000124,3/23/2024 12:35,EU,GBP,SMB,Organic,18-24,United Kingdom,55.3781,-3.436
CUST0000125,2/22/2024 14:39,,USD,Consumer,Email,45-54,United States,39.8283,-98.5795
CUST0000126,7/22/2025 20:20,,USD,Consumer,Organic,18-24,United States,39.8283,-98.5795
CUST0000127,4/25/2025 19:33,APAC,AUD,Consumer,Email,35-44,Australia,-25.2744,133.7751
CUST0000128,6/23/2025 15:55,EU,EUR,SMB,Affiliate,45-54,Spain,40.4637,-3.7492
CUST0000129,3/28/2025 4:53,,USD,Consumer,Retail Media,18-24,Canada,56.1304,-106.3468
CUST0000130,8/30/2025 2:22,EU,GBP,Consumer,Affiliate,25-34,United Kingdom,55.3781,-3.436
CUST0000131,6/21/2024 5:48,,USD,SMB,Paid Search,18-24,United States,39.8283,-98.5795
CUST0000132,1/29/2025 1:07,APAC,AUD,SOHO,Organic,35-44,Australia,-25.2744,133.7751
CUST0000133,5/23/2025 0:01,,USD,Consumer,Paid Search,25-34,United States,39.8283,-98.5795
CUST0000134,5/27/2024 5:54,APAC,USD,Consumer,Social,35-44,Philippines,12.8797,121.774
CUST0000135,5/18/2025 1:22,EU,EUR,Consumer,Paid Search,55+,Spain,40.4637,-3.7492
CUST0000136,9/13/2024 16:40,,USD,Consumer,Organic,25-34,Canada,56.1304,-106.3468
CUST0000137,6/20/2025 3:03,APAC,USD,Consumer,Organic,18-24,Philippines,12.8797,121.774
CUST0000138,5/28/2024 2:42,,USD,SOHO,Social,35-44,United States,39.8283,-98.5795
CUST0000139,3/21/2024 0:42,,USD,Consumer,Organic,45-54,Canada,56.1304,-106.3468
CUST0000140,9/22/2024 13:28,EU,EUR,SOHO,Retail Media,55+,Germany,51.1657,10.4515
CUST0000141,10/28/2024 15:47,APAC,USD,SOHO,Paid Search,25-34,Philippines,12.8797,121.774
CUST0000142,4/13/2025 7:12,,USD,Consumer,Paid Search,25-34,United States,39.8283,-98.5795
CUST0000143,4/1/2025 12:27,,USD,Consumer,Organic,45-54,Canada,56.1304,-106.3468
CUST0000144,12/19/2024 7:58,EU,EUR,Consumer,Social,45-54,Netherlands,52.1326,5.2913
CUST0000145,1/9/2025 17:03,,USD,Consumer,Social,35-44,United States,39.8283,-98.5795
CUST0000146,10/8/2024 15:49,EU,EUR,SOHO,Paid Search,25-34,France,46.2276,2.2137
CUST0000147,3/16/2024 8:27,,USD,Consumer,Paid Search,25-34,Canada,56.1304,-106.3468
CUST0000148,5/1/2025 20:50,EU,GBP,Consumer,Email,25-34,United Kingdom,55.3781,-3.436
CUST0000149,4/1/2024 7:02,,USD,Consumer,Paid Search,55+,United States,39.8283,-98.5795
CUST0000150,1/9/2024 21:46,,USD,Consumer,Paid Search,25-34,United States,39.8283,-98.5795
CUST0000151,9/12/2024 10:35,,USD,Consumer,Paid Search,35-44,United States,39.8283,-98.5795
CUST0000152,7/21/2025 5:08,EU,EUR,Consumer,Paid Search,35-44,Netherlands,52.1326,5.2913
CUST0000153,11/25/2024 2:14,EU,GBP,Consumer,Organic,25-34,United Kingdom,55.3781,-3.436
CUST0000154,4/2/2024 6:16,,USD,Consumer,Paid Search,25-34,United States,39.8283,-98.5795
CUST0000155,2/8/2024 13:17,EU,EUR,SMB,Organic,35-44,France,46.2276,2.2137
CUST0000156,3/2/2025 1:14,EU,EUR,SOHO,Social,25-34,Germany,51.1657,10.4515
CUST0000157,2/2/2025 11:33,,USD,Consumer,Organic,25-34,United States,39.8283,-98.5795
CUST0000158,3/6/2024 10:37,EU,EUR,Consumer,Email,25-34,France,46.2276,2.2137
CUST0000159,6/14/2025 6:40,EU,EUR,Consumer,Paid Search,45-54,Germany,51.1657,10.4515
CUST0000160,7/24/2024 10:46,EU,EUR,Consumer,Email,55+,Germany,51.1657,10.4515
CUST0000161,3/3/2025 1:34,,USD,Consumer,Organic,35-44,Canada,56.1304,-106.3468
CUST0000162,10/2/2024 22:46,,USD,Consumer,Email,45-54,United States,39.8283,-98.5795
CUST0000163,5/14/2025 11:55,APAC,AUD,Consumer,Paid Search,35-44,Australia,-25.2744,133.7751
CUST0000164,9/23/2024 3:03,EU,GBP,Consumer,Social,35-44,United Kingdom,55.3781,-3.436
CUST0000165,9/11/2024 6:59,EU,GBP,Consumer,Organic,55+,United Kingdom,55.3781,-3.436
CUST0000166,2/26/2025 14:37,APAC,AUD,Consumer,Organic,25-34,Australia,-25.2744,133.7751
CUST0000167,12/28/2024 3:16,EU,GBP,SOHO,Retail Media,18-24,United Kingdom,55.3781,-3.436
CUST0000168,9/4/2024 2:58,EU,EUR,Consumer,Affiliate,55+,Netherlands,52.1326,5.2913
CUST0000169,9/28/2024 19:23,APAC,AUD,Consumer,Organic,45-54,Australia,-25.2744,133.7751
CUST0000170,1/23/2025 20:46,EU,GBP,Consumer,Social,25-34,United Kingdom,55.3781,-3.436
CUST0000171,7/13/2025 0:15,EU,EUR,SMB,Organic,55+,Spain,40.4637,-3.7492
CUST0000172,2/21/2025 18:04,APAC,AUD,SMB,Paid Search,25-34,Australia,-25.2744,133.7751
CUST0000173,8/6/2025 19:26,,USD,SOHO,Retail Media,25-34,United States,39.8283,-98.5795
CUST0000174,8/23/2025 18:40,,USD,Consumer,Organic,35-44,United States,39.8283,-98.5795
CUST0000175,6/18/2024 11:46,,USD,Consumer,Social,25-34,United States,39.8283,-98.5795
CUST0000176,12/3/2024 21:14,EU,EUR,SOHO,Paid Search,35-44,Netherlands,52.1326,5.2913
CUST0000177,5/25/2025 0:35,,USD,Consumer,Email,25-34,Canada,56.1304,-106.3468
CUST0000178,4/6/2024 3:21,APAC,USD,Consumer,Affiliate,18-24,Philippines,12.8797,121.774
CUST0000179,2/15/2025 14:44,APAC,AUD,SMB,Retail Media,35-44,Australia,-25.2744,133.7751
CUST0000180,2/6/2025 6:25,EU,GBP,Consumer,Affiliate,35-44,United Kingdom,55.3781,-3.436
CUST0000181,8/11/2025 19:39,,USD,Consumer,Paid Search,18-24,United States,39.8283,-98.5795
CUST0000182,6/9/2025 4:43,APAC,AUD,Consumer,Affiliate,55+,Australia,-25.2744,133.7751
CUST0000183,9/28/2024 17:33,EU,GBP,Consumer,Paid Search,35-44,United Kingdom,55.3781,-3.436
CUST0000184,9/30/2024 13:53,LATAM,USD,Consumer,Social,25-34,Brazil,-14.235,-51.9253
CUST0000185,1/29/2024 18:06,,USD,SOHO,Social,25-34,United States,39.8283,-98.5795
CUST0000186,2/3/2024 15:36,EU,GBP,SOHO,Organic,45-54,United Kingdom,55.3781,-3.436
CUST0000187,11/19/2024 11:26,APAC,AUD,Consumer,Social,35-44,Australia,-25.2744,133.7751
CUST0000188,4/1/2025 14:19,APAC,AUD,SMB,Paid Search,25-34,Australia,-25.2744,133.7751
CUST0000189,12/17/2024 5:01,EU,GBP,Consumer,Organic,18-24,United Kingdom,55.3781,-3.436
CUST0000190,9/17/2024 2:58,,USD,Consumer,Organic,25-34,Canada,56.1304,-106.3468
CUST0000191,1/26/2024 20:50,,USD,SOHO,Email,25-34,United States,39.8283,-98.5795
CUST0000192,10/1/2024 3:22,,USD,SOHO,Paid Search,35-44,Canada,56.1304,-106.3468
CUST0000193,3/14/2025 9:18,APAC,AUD,Consumer,Email,55+,Australia,-25.2744,133.7751
CUST0000194,3/8/2024 9:16,EU,EUR,SMB,Paid Search,25-34,Netherlands,52.1326,5.2913
CUST0000195,1/28/2025 0:32,EU,EUR,SOHO,Email,45-54,Spain,40.4637,-3.7492
CUST0000196,12/11/2024 14:12,EU,EUR,SMB,Paid Search,55+,Germany,51.1657,10.4515
CUST0000197,2/21/2025 20:34,,USD,Consumer,Social,55+,United States,39.8283,-98.5795
CUST0000198,6/18/2025 6:01,LATAM,USD,SOHO,Paid Search,55+,Brazil,-14.235,-51.9253
CUST0000199,5/21/2024 3:33,EU,GBP,Enterprise,Affiliate,45-54,United Kingdom,55.3781,-3.436
CUST0000200,7/8/2025 19:35,APAC,USD,SOHO,Organic,35-44,Philippines,12.8797,121.774
CUST0000201,1/23/2024 14:48,,USD,Consumer,Email,25-34,United States,39.8283,-98.5795
CUST0000202,6/15/2024 22:01,APAC,AUD,Consumer,Organic,35-44,Australia,-25.2744,133.7751
CUST0000203,9/2/2024 8:54,EU,EUR,Consumer,Email,45-54,Spain,40.4637,-3.7492
CUST0000204,6/5/2025 11:29,APAC,USD,Consumer,Organic,25-34,Philippines,12.8797,121.774
CUST0000205,7/7/2024 6:27,EU,EUR,SMB,Email,25-34,Germany,51.1657,10.4515
CUST0000206,4/16/2025 18:12,,USD,Consumer,Paid Search,25-34,Canada,56.1304,-106.3468
CUST0000207,4/29/2025 16:49,EU,GBP,Consumer,Organic,45-54,United Kingdom,55.3781,-3.436
CUST0000208,9/25/2024 22:01,,USD,SMB,Organic,45-54,United States,39.8283,-98.5795
CUST0000209,8/21/2025 13:31,APAC,AUD,Consumer,Paid Search,35-44,Australia,-25.2744,133.7751
CUST0000210,6/16/2025 1:05,APAC,AUD,Consumer,Paid Search,25-34,Australia,-25.2744,133.7751
CUST0000211,1/1/2024 16:58,APAC,USD,Consumer,Social,35-44,Philippines,12.8797,121.774
CUST0000212,6/6/2024 8:44,EU,GBP,Consumer,Retail Media,18-24,United Kingdom,55.3781,-3.436
CUST0000213,7/12/2025 2:20,,USD,Consumer,Email,35-44,United States,39.8283,-98.5795
CUST0000214,7/30/2024 11:56,,USD,Enterprise,Organic,25-34,United States,39.8283,-98.5795
CUST0000215,4/28/2024 22:03,EU,EUR,Consumer,Organic,55+,France,46.2276,2.2137
CUST0000216,5/30/2024 17:25,EU,EUR,Consumer,Email,35-44,Germany,51.1657,10.4515
CUST0000217,7/13/2024 15:16,,USD,Consumer,Paid Search,35-44,Canada,56.1304,-106.3468
CUST0000218,4/8/2025 9:56,EU,EUR,Consumer,Social,35-44,Germany,51.1657,10.4515
CUST0000219,3/29/2024 14:21,APAC,USD,Consumer,Organic,35-44,Philippines,12.8797,121.774
CUST0000220,3/13/2025 15:54,LATAM,USD,Consumer,Retail Media,25-34,Brazil,-14.235,-51.9253
CUST0000221,3/30/2025 15:06,APAC,AUD,Consumer,Organic,35-44,Australia,-25.2744,133.7751
CUST0000222,7/18/2024 0:08,APAC,USD,SOHO,Social,55+,Philippines,12.8797,121.774
CUST0000223,1/5/2025 22:25,,USD,Consumer,Paid Search,25-34,Canada,56.1304,-106.3468
CUST0000224,6/27/2024 11:37,EU,GBP,Consumer,Social,35-44,United Kingdom,55.3781,-3.436
CUST0000225,10/7/2024 5:08,,USD,SOHO,Organic,55+,United States,39.8283,-98.5795
CUST0000226,2/27/2024 11:10,EU,GBP,Consumer,Email,45-54,United Kingdom,55.3781,-3.436
CUST0000227,1/10/2024 9:52,EU,GBP,Consumer,Social,35-44,United Kingdom,55.3781,-3.436
CUST0000228,1/25/2025 23:15,EU,EUR,Consumer,Paid Search,45-54,Netherlands,52.1326,5.2913
CUST0000229,5/13/2024 4:11,EU,GBP,Consumer,Organic,55+,United Kingdom,55.3781,-3.436
CUST0000230,8/25/2024 23:08,EU,EUR,Consumer,Organic,55+,Netherlands,52.1326,5.2913
CUST0000231,8/16/2024 20:29,APAC,AUD,Consumer,Organic,55+,Australia,-25.2744,133.7751
CUST0000232,3/30/2024 12:21,,USD,Consumer,Organic,35-44,United States,39.8283,-98.5795
CUST0000233,3/6/2024 16:18,LATAM,USD,Consumer,Organic,25-34,Brazil,-14.235,-51.9253
CUST0000234,4/10/2024 5:02,EU,GBP,Consumer,Organic,25-34,United Kingdom,55.3781,-3.436
CUST0000235,4/9/2025 20:35,EU,EUR,Consumer,Email,25-34,France,46.2276,2.2137
CUST0000236,9/14/2024 20:12,APAC,AUD,SOHO,Email,55+,Australia,-25.2744,133.7751
CUST0000237,3/14/2025 23:08,,USD,SMB,Organic,45-54,United States,39.8283,-98.5795
CUST0000238,7/31/2024 6:09,APAC,AUD,SMB,Social,35-44,Australia,-25.2744,133.7751
CUST0000239,9/9/2024 10:00,EU,GBP,Consumer,Social,35-44,United Kingdom,55.3781,-3.436
CUST0000240,5/26/2025 4:17,EU,EUR,Consumer,Affiliate,25-34,France,46.2276,2.2137
CUST0000241,3/4/2024 9:40,LATAM,USD,Consumer,Organic,25-34,Brazil,-14.235,-51.9253
CUST0000242,10/26/2024 3:51,EU,GBP,Consumer,Organic,35-44,United Kingdom,55.3781,-3.436
CUST0000243,1/16/2025 18:55,,USD,Consumer,Email,25-34,United States,39.8283,-98.5795
CUST0000244,1/13/2024 22:50,EU,GBP,SOHO,Email,25-34,United Kingdom,55.3781,-3.436
CUST0000245,5/15/2024 15:01,APAC,USD,Consumer,Paid Search,35-44,Philippines,12.8797,121.774
CUST0000246,7/31/2025 14:44,,USD,Consumer,Email,25-34,United States,39.8283,-98.5795
CUST0000247,5/25/2025 23:52,,USD,Enterprise,Organic,55+,United States,39.8283,-98.5795
CUST0000248,6/11/2024 4:22,,USD,Consumer,Paid Search,25-34,United States,39.8283,-98.5795
CUST0000249,1/21/2025 23:47,,USD,Consumer,Email,55+,United States,39.8283,-98.5795
CUST0000250,4/15/2025 13:47,EU,EUR,Consumer,Email,25-34,Spain,40.4637,-3.7492
CUST0000251,11/7/2024 10:08,,USD,Consumer,Organic,25-34,Canada,56.1304,-106.3468
CUST0000252,2/21/2025 23:17,EU,EUR,Consumer,Affiliate,35-44,Germany,51.1657,10.4515
CUST0000253,3/18/2024 1:58,APAC,AUD,Consumer,Social,45-54,Australia,-25.2744,133.7751
CUST0000254,12/29/2024 4:11,EU,EUR,Consumer,Affiliate,35-44,France,46.2276,2.2137
CUST0000255,2/28/2025 0:20,LATAM,USD,SOHO,Email,25-34,Brazil,-14.235,-51.9253
CUST0000256,2/11/2025 14:19,LATAM,USD,SOHO,Paid Search,18-24,Brazil,-14.235,-51.9253
CUST0000257,8/12/2024 22:09,EU,EUR,SMB,Paid Search,35-44,France,46.2276,2.2137
CUST0000258,7/14/2024 10:54,EU,EUR,SMB,Organic,25-34,Netherlands,52.1326,5.2913
CUST0000259,8/27/2025 17:07,,USD,Consumer,Affiliate,25-34,Canada,56.1304,-106.3468
CUST0000260,3/14/2024 1:55,EU,EUR,Consumer,Social,35-44,Germany,51.1657,10.4515
CUST0000261,12/22/2024 19:05,,USD,Consumer,Organic,18-24,United States,39.8283,-98.5795
CUST0000262,5/16/2025 16:52,EU,GBP,Consumer,Organic,25-34,United Kingdom,55.3781,-3.436
CUST0000263,2/15/2025 14:30,,USD,SOHO,Organic,18-24,Canada,56.1304,-106.3468
CUST0000264,2/11/2025 13:31,LATAM,USD,SOHO,Organic,55+,Brazil,-14.235,-51.9253
CUST0000265,2/17/2025 5:34,,USD,Consumer,Social,25-34,Canada,56.1304,-106.3468
CUST0000266,4/18/2025 11:56,EU,EUR,Consumer,Email,55+,Netherlands,52.1326,5.2913
CUST0000267,10/9/2024 19:40,APAC,AUD,Consumer,Paid Search,25-34,Australia,-25.2744,133.7751
